year,state,sp500
1998,MT,26.67
1999,MT,19.53
2000,MT,-10.14
2001,MT,-13.04
2002,MT,-23.37
2003,MT,26.38
2004,MT,8.99
2005,MT,3
2006,MT,13.62
2007,MT,3.53
2008,MT,-38.49
2009,MT,23.45
2010,MT,12.78
2011,MT,0
2012,MT,13.41
2013,MT,29.6
2014,MT,11.39
2015,MT,-0.73
2016,MT,9.54
2017,MT,19.42
2018,MT,-6.24
1984,NE,1.4
1985,NC,26.33
1986,NC,14.62
1987,NC,2.03
1988,NC,12.4
1989,NC,27.25
1990,NC,-6.56
1991,NC,26.31
1992,NC,4.46
1993,NC,7.06
1994,NC,-1.54
1995,NC,34.11
1996,NC,20.26
1997,NC,31.01
1998,NC,26.67
1999,NC,19.53
2000,NC,-10.14
2001,NC,-13.04
2002,NC,-23.37
2003,NC,26.38
2004,NC,8.99
2005,NC,3
2006,NC,13.62
2007,NC,3.53
2008,NC,-38.49
2009,NC,23.45
2010,NC,12.78
2011,NC,0
2012,NC,13.41
2013,NC,29.6
2014,NC,11.39
2015,NC,-0.73
2016,NC,9.54
2017,NC,19.42
2018,NC,-6.24
1984,ND,1.4
1985,ND,26.33
1986,ND,14.62
1987,ND,2.03
1988,ND,12.4
1989,ND,27.25
1990,ND,-6.56
1991,ND,26.31
1992,ND,4.46
1993,ND,7.06
1994,ND,-1.54
1995,ND,34.11
1996,ND,20.26
1997,ND,31.01
1998,ND,26.67
1999,ND,19.53
2000,ND,-10.14
2001,ND,-13.04
2002,ND,-23.37
2003,ND,26.38
2004,ND,8.99
2005,ND,3
2006,ND,13.62
2007,ND,3.53
2008,ND,-38.49
2009,ND,23.45
2010,ND,12.78
2011,ND,0
2012,ND,13.41
2013,ND,29.6
2014,ND,11.39
2015,ND,-0.73
2016,ND,9.54
2017,ND,19.42
2018,ND,-6.24
1984,NE,1.4
1985,NE,26.33
1986,NE,14.62
1987,NE,2.03
1988,NE,12.4
1989,NE,27.25
1990,NE,-6.56
1991,NE,26.31
1992,NE,4.46
1993,NE,7.06
1994,NE,-1.54
1995,NE,34.11
1996,NE,20.26
1997,NE,31.01
1998,NE,26.67
1999,NE,19.53
2000,NE,-10.14
2001,NE,-13.04
2002,NE,-23.37
2003,NE,26.38
2004,NE,8.99
2005,NE,3
2006,NE,13.62
2007,NE,3.53
2008,NE,-38.49
2009,NE,23.45
2010,NE,12.78
2011,NE,0
2012,NE,13.41
2013,NE,29.6
2014,NE,11.39
2015,NE,-0.73
2016,NE,9.54
2017,NE,19.42
2018,NE,-6.24
1984,NH,1.4
1985,NH,26.33
1986,NH,14.62
1987,NH,2.03
1988,NH,12.4
1989,NH,27.25
1990,NH,-6.56
1991,NH,26.31
1992,NH,4.46
1993,NH,7.06
1994,NH,-1.54
1995,NH,34.11
1996,NH,20.26
1997,NH,31.01
1998,NH,26.67
1999,NH,19.53
2000,NH,-10.14
2001,NH,-13.04
2002,NH,-23.37
2003,NH,26.38
2004,NH,8.99
2005,NH,3
2006,NH,13.62
2007,NH,3.53
2008,NH,-38.49
2009,NH,23.45
2010,NH,12.78
2011,NH,0
2012,NH,13.41
2013,NH,29.6
2014,NH,11.39
2015,NH,-0.73
2016,NH,9.54
2017,NH,19.42
2018,NH,-6.24
1984,NJ,1.4
1985,NJ,26.33
1986,NJ,14.62
1987,NJ,2.03
1988,NJ,12.4
1989,NJ,27.25
1990,NJ,-6.56
1991,NJ,26.31
1992,NJ,4.46
1993,NJ,7.06
1994,NJ,-1.54
1995,NJ,34.11
1996,NJ,20.26
1997,NJ,31.01
1998,NJ,26.67
1999,NJ,19.53
2000,NJ,-10.14
2001,NJ,-13.04
2002,NJ,-23.37
2003,NJ,26.38
2004,NJ,8.99
2005,NJ,3
2006,NJ,13.62
2007,NJ,3.53
2008,NJ,-38.49
2009,NJ,23.45
2010,NJ,12.78
2011,NJ,0
2012,NJ,13.41
2013,NJ,29.6
2014,NJ,11.39
2015,NJ,-0.73
2016,NJ,9.54
2017,NJ,19.42
2018,NJ,-6.24
1984,NM,1.4
1985,NM,26.33
1986,NM,14.62
1987,NM,2.03
1988,NM,12.4
1989,NM,27.25
1990,NM,-6.56
1991,NM,26.31
1992,NM,4.46
1993,NM,7.06
1994,NM,-1.54
1995,NM,34.11
1996,NM,20.26
1997,NM,31.01
1998,NM,26.67
1999,NM,19.53
2000,NM,-10.14
2001,NM,-13.04
2002,NM,-23.37
2003,NM,26.38
2004,NM,8.99
2005,NM,3
2006,NM,13.62
2007,NM,3.53
2008,NM,-38.49
2009,NM,23.45
2010,NM,12.78
2011,NM,0
2012,NM,13.41
2013,NM,29.6
2014,NM,11.39
2015,NM,-0.73
2016,NM,9.54
2017,NM,19.42
2018,NM,-6.24
1984,NV,1.4
1985,NV,26.33
1986,NV,14.62
1987,NV,2.03
1988,NV,12.4
1989,NV,27.25
1990,NV,-6.56
1991,NV,26.31
1992,NV,4.46
1993,NV,7.06
1994,NV,-1.54
1995,NV,34.11
1996,NV,20.26
1997,NV,31.01
1998,NV,26.67
1999,NV,19.53
2000,NV,-10.14
2001,NV,-13.04
2002,NV,-23.37
2003,NV,26.38
2004,NV,8.99
2005,NV,3
2006,NV,13.62
2007,NV,3.53
2008,NV,-38.49
2009,NV,23.45
2010,NV,12.78
2011,NV,0
2012,NV,13.41
2013,NV,29.6
2014,NV,11.39
2015,NV,-0.73
2016,NV,9.54
2017,NV,19.42
2018,NV,-6.24
1984,NY,1.4
1985,NY,26.33
1986,NY,14.62
1987,NY,2.03
1988,NY,12.4
1989,NY,27.25
1990,NY,-6.56
1991,NY,26.31
1992,NY,4.46
1993,NY,7.06
1994,NY,-1.54
1995,NY,34.11
1996,NY,20.26
1997,NY,31.01
1998,NY,26.67
1999,NY,19.53
2000,NY,-10.14
2001,NY,-13.04
2002,NY,-23.37
2003,NY,26.38
2004,NY,8.99
2005,NY,3
2006,NY,13.62
2007,NY,3.53
2008,NY,-38.49
2009,NY,23.45
2010,NY,12.78
2011,NY,0
2012,NY,13.41
2013,NY,29.6
2014,NY,11.39
2015,NY,-0.73
2016,NY,9.54
2017,NY,19.42
2018,NY,-6.24
1984,OH,1.4
1985,OH,26.33
1986,OH,14.62
1987,OH,2.03
1988,OH,12.4
1989,OH,27.25
1990,OH,-6.56
1991,OH,26.31
1992,OH,4.46
1993,OH,7.06
1994,OH,-1.54
1995,OH,34.11
1996,OH,20.26
1997,OH,31.01
1998,OH,26.67
1999,OH,19.53
2000,OH,-10.14
2001,OH,-13.04
2002,OH,-23.37
2003,OH,26.38
2004,OH,8.99
2005,OH,3
2006,OH,13.62
2007,OH,3.53
2008,OH,-38.49
2009,OH,23.45
2010,OH,12.78
2011,OH,0
2012,OH,13.41
2013,OH,29.6
2014,OH,11.39
2015,OH,-0.73
2016,OH,9.54
2017,OH,19.42
2018,OH,-6.24
1984,OK,1.4
1985,OK,26.33
1986,OK,14.62
1987,OK,2.03
1988,OK,12.4
1989,OK,27.25
1990,OK,-6.56
1991,OK,26.31
1992,OK,4.46
1993,OK,7.06
1994,OK,-1.54
1995,OK,34.11
1996,OK,20.26
1997,OK,31.01
1998,OK,26.67
1999,OK,19.53
2000,OK,-10.14
2001,OK,-13.04
2002,OK,-23.37
2003,OK,26.38
2004,OK,8.99
2005,OK,3
2006,OK,13.62
2007,OK,3.53
2008,OK,-38.49
2009,OK,23.45
2010,OK,12.78
2011,OK,0
2012,OK,13.41
2013,OK,29.6
2014,OK,11.39
2015,OK,-0.73
2016,OK,9.54
2017,OK,19.42
2018,OK,-6.24
1984,OR,1.4
1985,OR,26.33
1986,OR,14.62
1987,OR,2.03
1988,OR,12.4
1989,OR,27.25
1990,OR,-6.56
1991,OR,26.31
1992,OR,4.46
1993,OR,7.06
1994,OR,-1.54
1995,OR,34.11
1996,OR,20.26
1997,OR,31.01
1998,OR,26.67
1999,OR,19.53
2000,OR,-10.14
2001,OR,-13.04
2002,OR,-23.37
2003,OR,26.38
2004,OR,8.99
2005,OR,3
2006,OR,13.62
2007,OR,3.53
2008,OR,-38.49
2009,OR,23.45
2010,OR,12.78
2011,OR,0
2012,OR,13.41
2013,OR,29.6
2014,OR,11.39
2015,OR,-0.73
2016,OR,9.54
2017,OR,19.42
2018,OR,-6.24
1984,PA,1.4
1985,PA,26.33
1986,PA,14.62
1987,PA,2.03
1988,PA,12.4
1989,PA,27.25
1990,PA,-6.56
1991,PA,26.31
1992,PA,4.46
1993,PA,7.06
1994,PA,-1.54
1995,PA,34.11
1996,PA,20.26
1997,PA,31.01
1998,PA,26.67
1999,PA,19.53
2000,PA,-10.14
2001,PA,-13.04
2002,PA,-23.37
2003,PA,26.38
2004,PA,8.99
2005,PA,3
2006,PA,13.62
2007,PA,3.53
2008,PA,-38.49
2009,PA,23.45
2010,PA,12.78
2011,PA,0
2012,PA,13.41
2013,PA,29.6
2014,PA,11.39
2015,PA,-0.73
2016,PA,9.54
2017,PA,19.42
2018,PA,-6.24
1984,RI,1.4
1985,RI,26.33
1986,RI,14.62
1987,RI,2.03
1988,RI,12.4
1989,RI,27.25
1990,RI,-6.56
1991,RI,26.31
1992,RI,4.46
1993,RI,7.06
1994,RI,-1.54
1995,RI,34.11
1996,RI,20.26
1997,RI,31.01
1998,RI,26.67
1999,RI,19.53
2000,RI,-10.14
2001,RI,-13.04
2002,RI,-23.37
2003,RI,26.38
2004,RI,8.99
2005,RI,3
2006,RI,13.62
2007,RI,3.53
2008,RI,-38.49
2009,RI,23.45
2010,RI,12.78
2011,RI,0
2012,RI,13.41
2013,RI,29.6
2014,RI,11.39
2015,RI,-0.73
2016,RI,9.54
2017,RI,19.42
2018,RI,-6.24
1984,SC,1.4
1985,SC,26.33
1986,SC,14.62
1987,SC,2.03
1988,SC,12.4
1989,SC,27.25
1990,SC,-6.56
1991,SC,26.31
