state,year, population 
NJ,1989," 7,726,089 "
NM,1989," 1,503,901 "
NY,1989," 17,983,086 "
NC,1989," 6,565,459 "
ND,1989," 646,351 "
OH,1989," 10,829,217 "
OK,1989," 3,150,307 "
OR,1989," 2,790,575 "
PA,1989," 11,865,996 "
RI,1989," 1,000,666 "
SC,1989," 3,456,775 "
SD,1989," 696,701 "
TN,1989," 4,854,444 "
TX,1989," 16,806,735 "
UT,1989," 1,705,864 "
VT,1989," 557,707 "
VA,1989," 6,120,246 "
WA,1989," 4,746,316 "
WV,1989," 1,806,568 "
WI,1989," 4,856,574 "
WY,1989," 458,374 "
AL,1999," 4,369,862 "
AK,1999," 619,500 "
AZ,1999," 4,778,332 "
AR,1999," 2,551,373 "
CA,1999," 33,145,121 "
CO,1999," 4,056,133 "
CT,1999," 3,282,031 "
DE,1999," 753,538 "
DC,1999," 519,000 "
FL,1999," 15,111,244 "
GA,1999," 7,788,240 "
HI,1999," 1,185,497 "
ID,1999," 1,251,700 "
IL,1999," 12,128,370 "
IN,1999," 5,942,901 "
IA,1999," 2,869,413 "
KS,1999," 2,654,052 "
KY,1999," 3,960,825 "
LA,1999," 4,372,035 "
ME,1999," 1,253,040 "
MD,1999," 5,171,634 "
MA,1999," 6,175,169 "
MI,1999," 9,863,775 "
MN,1999," 4,775,508 "
MS,1999," 2,768,619 "
MO,1999," 5,468,338 "
MT,1999," 882,779 "
NE,1999," 1,666,028 "
NV,1999," 1,809,253 "
NH,1999," 1,201,134 "
NJ,1999," 8,143,412 "
NM,1999," 1,739,844 "
NY,1999," 18,196,601 "
NC,1999," 7,650,789 "
ND,1999," 633,666 "
OH,1999," 11,256,654 "
OK,1999," 3,358,044 "
OR,1999," 3,316,154 "
PA,1999," 11,994,016 "
RI,1999," 990,819 "
SC,1999," 3,885,736 "
SD,1999," 733,133 "
TN,1999," 5,483,535 "
TX,1999," 20,044,141 "
UT,1999," 2,129,836 "
VT,1999," 593,740 "
VA,1999," 6,872,912 "
WA,1999," 5,756,361 "
WV,1999," 1,806,928 "
WI,1999," 5,250,446 "
WY,1999," 479,602 "
AL,1998," 4,351,037 "
AK,1998," 615,205 "
AZ,1998," 4,667,277 "
AR,1998," 2,538,202 "
CA,1998," 32,682,794 "
CO,1998," 3,968,967 "
