"year","period","periodName","value","state","quarter","HPI","annual"
1983,"M12","December","8.0","ID",4,"107.07","1"
1984,"M12","December","7.5","ID",4,"112.07","1"
1985,"M12","December","8.3","ID",4,"111.53","1"
1986,"M12","December","8.3","ID",4,"113.73","1"
1987,"M12","December","7.0","ID",4,"109.11","1"
1988,"M12","December","5.5","ID",4,"110.66","1"
1989,"M12","December","5.2","ID",4,"116.93","1"
1990,"M12","December","6.0","ID",4,"125.67","1"
1991,"M12","December","6.5","ID",4,"135.17","1"
1992,"M12","December","6.0","ID",4,"144.89","1"
1993,"M12","December","5.6","ID",4,"157.91","1"
1994,"M12","December","5.7","ID",4,"167.78","1"
1995,"M12","December","5.5","ID",4,"177.54","1"
1996,"M12","December","5.2","ID",4,"180.54","1"
1997,"M12","December","5.2","ID",4,"187.94","1"
1998,"M12","December","5.2","ID",4,"192.94","1"
1999,"M12","December","4.7","ID",4,"193.87","1"
2000,"M12","December","5.0","ID",4,"200.49","1"
2001,"M12","December","5.6","ID",4,"211.31","1"
2002,"M12","December","5.7","ID",4,"218.21","1"
2003,"M12","December","5.5","ID",4,"227.15","1"
2004,"M12","December","4.7","ID",4,"250.11","1"
2005,"M12","December","3.6","ID",4,"296.46","1"
2006,"M12","December","3.4","ID",4,"335.5","1"
2007,"M12","December","3.7","ID",4,"341.61","1"
2008,"M12","December","7.0","ID",4,"325.38","1"
2009,"M12","December","9.6","ID",4,"296.47","1"
2010,"M12","December","9.0","ID",4,"274.19","1"
2011,"M12","December","7.9","ID",4,"259.25","1"
2012,"M12","December","6.8","ID",4,"264.06","1"
2013,"M12","December","5.3","ID",4,"278.47","1"
2014,"M12","December","4.5","ID",4,"292.92","1"
2015,"M12","December","4.0","ID",4,"314.61","1"
2016,"M12","December","3.6","ID",4,"337.44","1"
2017,"M12","December","3.1","ID",4,"372.24","1"
2018,"M12","December","3.0","ID",4,"420.09","1"
2019,"M12","December","2.9","ID",4,"465.32","1"
1976,"M12","December","6.4","IL",4,"73.21","1"
1977,"M12","December","5.7","IL",4,"88.93","1"
1978,"M12","December","5.5","IL",4,"101.93","1"
1979,"M12","December","6.0","IL",4,"99.88","1"
1980,"M12","December","8.5","IL",4,"99.8","1"
1981,"M12","December","8.9","IL",4,"107.93","1"
1982,"M12","December","13.0","IL",4,"101.08","1"
1983,"M12","December","9.8","IL",4,"107.11","1"
1984,"M12","December","8.6","IL",4,"112.8","1"
1985,"M12","December","8.4","IL",4,"118.32","1"
1986,"M12","December","7.3","IL",4,"128.38","1"
1987,"M12","December","6.7","IL",4,"140.61","1"
1988,"M12","December","5.9","IL",4,"152.86","1"
1989,"M12","December","6.3","IL",4,"164.36","1"
1990,"M12","December","6.2","IL",4,"170.46","1"
1991,"M12","December","8.4","IL",4,"177.96","1"
1992,"M12","December","7.2","IL",4,"184.08","1"
1993,"M12","December","6.2","IL",4,"190.5","1"
1994,"M12","December","4.5","IL",4,"197.86","1"
1995,"M12","December","5.0","IL",4,"207.09","1"
1996,"M12","December","4.9","IL",4,"213.03","1"
1997,"M12","December","4.7","IL",4,"220.23","1"
1998,"M12","December","4.1","IL",4,"226.83","1"
1999,"M12","December","4.1","IL",4,"237.32","1"
2000,"M12","December","4.4","IL",4,"253.03","1"
2001,"M12","December","6.0","IL",4,"268.08","1"
2002,"M12","December","6.4","IL",4,"284.3","1"
2003,"M12","December","6.2","IL",4,"303.47","1"
2004,"M12","December","5.8","IL",4,"328.71","1"
2005,"M12","December","5.1","IL",4,"356.82","1"
2006,"M12","December","4.2","IL",4,"371.21","1"
2007,"M12","December","5.4","IL",4,"370.44","1"
2008,"M12","December","7.6","IL",4,"348.22","1"
2009,"M12","December","11.0","IL",4,"322.92","1"
2010,"M12","December","9.3","IL",4,"315.08","1"
2011,"M12","December","9.2","IL",4,"300.23","1"
2012,"M12","December","9.1","IL",4,"296.02","1"
2013,"M12","December","8.2","IL",4,"298.12","1"
2014,"M12","December","5.8","IL",4,"310","1"
2015,"M12","December","6.0","IL",4,"318.8","1"
2016,"M12","December","5.3","IL",4,"330.28","1"
2017,"M12","December","4.5","IL",4,"339.48","1"
2018,"M12","December","4.4","IL",4,"345.53","1"
2019,"M12","December","3.5","IL",4,"359.02","1"
1976,"M12","December","5.3","IN",4,"68.39","1"
1977,"M12","December","5.4","IN",4,"78.36","1"
1978,"M12","December","5.4","IN",4,"89.38","1"
1979,"M12","December","7.7","IN",4,"97.66","1"
1980,"M12","December","9.1","IN",4,"101.06","1"
1981,"M12","December","11.5","IN",4,"107.18","1"
1982,"M12","December","12.7","IN",4,"104.21","1"
1983,"M12","December","9.8","IN",4,"104.91","1"
1984,"M12","December","8.5","IN",4,"108.61","1"
1985,"M12","December","7.0","IN",4,"113.23","1"
1986,"M12","December","6.5","IN",4,"119.73","1"
1987,"M12","December","5.3","IN",4,"124.84","1"
1988,"M12","December","5.0","IN",4,"131.19","1"
1989,"M12","December","5.2","IN",4,"136.88","1"
1990,"M12","December","5.6","IN",4,"140.91","1"
1991,"M12","December","5.8","IN",4,"147.55","1"
1992,"M12","December","6.1","IN",4,"153.29","1"
1993,"M12","December","4.7","IN",4,"159.21","1"
1994,"M12","December","4.0","IN",4,"165.41","1"
1995,"M12","December","4.3","IN",4,"175.49","1"
1996,"M12","December","3.3","IN",4,"183.09","1"
1997,"M12","December","3.3","IN",4,"191.48","1"
1998,"M12","December","3.0","IN",4,"198.95","1"
1999,"M12","December","3.1","IN",4,"203.97","1"
2000,"M12","December","2.9","IN",4,"212.02","1"
2001,"M12","December","5.2","IN",4,"221.77","1"
2002,"M12","December","4.8","IN",4,"227.53","1"
2003,"M12","December","5.0","IN",4,"234.11","1"
2004,"M12","December","5.5","IN",4,"241.5","1"
2005,"M12","December","5.2","IN",4,"249.49","1"
2006,"M12","December","4.6","IN",4,"253.05","1"
2007,"M12","December","4.7","IN",4,"254.04","1"
2008,"M12","December","8.1","IN",4,"249.68","1"
2009,"M12","December","10.7","IN",4,"245.07","1"
2010,"M12","December","9.2","IN",4,"244.45","1"
2011,"M12","December","8.7","IN",4,"241.18","1"
2012,"M12","December","8.5","IN",4,"241.27","1"
2013,"M12","December","6.3","IN",4,"242.82","1"
2014,"M12","December","5.4","IN",4,"250.15","1"
2015,"M12","December","4.5","IN",4,"258.97","1"
2016,"M12","December","3.9","IN",4,"269.7","1"
2017,"M12","December","3.1","IN",4,"283.55","1"
2018,"M12","December","3.5","IN",4,"302.38","1"
2019,"M12","December","3.0","IN",4,"320.02","1"
1976,"M12","December","4.0","KS",4,"70.64","1"
1977,"M12","December","3.1","KS",4,"80.46","1"
1978,"M12","December","2.8","KS",4,"90.71","1"
1979,"M12","December","3.0","KS",4,"98.34","1"
1980,"M12","December","4.2","KS",4,"104.43","1"
1981,"M12","December","4.5","KS",4,"105.64","1"
1982,"M12","December","6.7","KS",4,"105.56","1"
1983,"M12","December","4.9","KS",4,"107.85","1"
1984,"M12","December","4.4","KS",4,"107.96","1"
1985,"M12","December","5.0","KS",4,"110.87","1"
1986,"M12","December","4.6","KS",4,"115.12","1"
1987,"M12","December","4.0","KS",4,"116.6","1"
1988,"M12","December","4.0","KS",4,"119.04","1"
1989,"M12","December","3.7","KS",4,"120.23","1"
1990,"M12","December","4.1","KS",4,"119.34","1"
1991,"M12","December","3.7","KS",4,"122.42","1"
1992,"M12","December","4.2","KS",4,"125.47","1"
1993,"M12","December","4.5","KS",4,"130.11","1"
1994,"M12","December","4.4","KS",4,"139.17","1"
1995,"M12","December","3.6","KS",4,"146.83","1"
1996,"M12","December","3.7","KS",4,"153.13","1"
1997,"M12","December","3.2","KS",4,"159.8","1"
1998,"M12","December","3.0","KS",4,"167.86","1"
1999,"M12","December","3.0","KS",4,"175.81","1"
2000,"M12","December","3.3","KS",4,"185.1","1"
2001,"M12","December","4.2","KS",4,"194.89","1"
2002,"M12","December","4.5","KS",4,"202.94","1"
2003,"M12","December","5.2","KS",4,"210.69","1"
2004,"M12","December","4.9","KS",4,"219.76","1"
2005,"M12","December","4.3","KS",4,"228.87","1"
2006,"M12","December","3.9","KS",4,"236.21","1"
2007,"M12","December","4.1","KS",4,"239.59","1"
2008,"M12","December","5.0","KS",4,"237.3","1"
2009,"M12","December","6.8","KS",4,"236.27","1"
2010,"M12","December","6.4","KS",4,"236.42","1"
2011,"M12","December","5.7","KS",4,"233.72","1"
2012,"M12","December","5.2","KS",4,"233.27","1"
2013,"M12","December","4.3","KS",4,"234.78","1"
2014,"M12","December","3.8","KS",4,"242.63","1"
2015,"M12","December","3.6","KS",4,"251.21","1"
2016,"M12","December","3.6","KS",4,"264.06","1"
2017,"M12","December","3.1","KS",4,"275.09","1"
2018,"M12","December","3.0","KS",4,"290.09","1"
2019,"M12","December","2.9","KS",4,"304.43","1"
1976,"M12","December","4.5","KY",4,"69.69","1"
1977,"M12","December","4.4","KY",4,"78.62","1"
1978,"M12","December","4.9","KY",4,"91.56","1"
1979,"M12","December","5.4","KY",4,"99.5","1"
1980,"M12","December","8.1","KY",4,"104.89","1"
1981,"M12","December","9.8","KY",4,"104.17","1"
1982,"M12","December","11.9","KY",4,"107.2","1"
1983,"M12","December","9.7","KY",4,"109.46","1"
1984,"M12","December","8.2","KY",4,"113","1"
1985,"M12","December","9.4","KY",4,"117.19","1"
1986,"M12","December","9.0","KY",4,"123.7","1"
1987,"M12","December","7.5","KY",4,"129.48","1"
1988,"M12","December","6.6","KY",4,"136.51","1"
1989,"M12","December","5.6","KY",4,"142.71","1"
1990,"M12","December","6.3","KY",4,"145.03","1"
1991,"M12","December","6.7","KY",4,"151.45","1"
1992,"M12","December","6.3","KY",4,"157.1","1"
1993,"M12","December","4.9","KY",4,"162.93","1"
1994,"M12","December","4.6","KY",4,"173.35","1"
1995,"M12","December","4.8","KY",4,"182.3","1"
1996,"M12","December","5.7","KY",4,"189.93","1"
1997,"M12","December","4.2","KY",4,"198.71","1"
1998,"M12","December","4.2","KY",4,"207.97","1"
1999,"M12","December","3.8","KY",4,"215.79","1"
2000,"M12","December","4.0","KY",4,"225.66","1"
2001,"M12","December","5.6","KY",4,"235.9","1"
2002,"M12","December","5.6","KY",4,"244.19","1"
2003,"M12","December","5.3","KY",4,"253.84","1"
2004,"M12","December","4.8","KY",4,"267.23","1"
2005,"M12","December","5.7","KY",4,"278.68","1"
2006,"M12","December","5.0","KY",4,"286.54","1"
2007,"M12","December","5.3","KY",4,"292.41","1"
2008,"M12","December","7.9","KY",4,"290.92","1"
2009,"M12","December","10.1","KY",4,"287.1","1"
2010,"M12","December","9.5","KY",4,"287.46","1"
2011,"M12","December","8.4","KY",4,"283.83","1"
2012,"M12","December","7.9","KY",4,"285.88","1"
2013,"M12","December","7.2","KY",4,"284.84","1"
2014,"M12","December","5.0","KY",4,"293.15","1"
2015,"M12","December","5.0","KY",4,"303.77","1"
2016,"M12","December","4.8","KY",4,"316.74","1"
2017,"M12","December","3.9","KY",4,"332.29","1"
2018,"M12","December","3.9","KY",4,"347.47","1"
2019,"M12","December","3.9","KY",4,"365.05","1"
1976,"M12","December","6.4","LA",4,"61.72","1"
1977,"M12","December","7.3","LA",4,"68.42","1"
1978,"M12","December","5.5","LA",4,"81.9","1"
1979,"M12","December","6.3","LA",4,"97.43","1"
1980,"M12","December","7.0","LA",4,"102.77","1"
1981,"M12","December","8.9","LA",4,"113.27","1"
1982,"M12","December","10.9","LA",4,"115.46","1"
1983,"M12","December","9.7","LA",4,"116.63","1"
1984,"M12","December","10.5","LA",4,"114.67","1"
1985,"M12","December","11.8","LA",4,"110.81","1"
1986,"M12","December","12.6","LA",4,"110.75","1"
1987,"M12","December","11.2","LA",4,"104.76","1"
